sampleName Signature.1 Signature.2 Signature.3 Signature.4 Signature.5 Signature.6 Signature.7a Signature.7b Signature.7c Signature.7d Signature.8 Signature.9 Signature.10a Signature.10b Signature.10c Signature.10d Signature.11 Signature.12 Signature.13 Signature.14 Signature.15 Signature.16 Signature.17a Signature.17b Signature.18 Signature.19 Signature.20 Signature.21 Signature.22 Signature.23 Signature.24 Signature.25 Signature.26 Signature.27 Signature.28 Signature.29 Signature.30 Signature.31 Signature.32 Signature.33 Signature.34 Signature.35 Signature.36 Signature.37 Signature.38 Signature.39 Signature.40 Signature.41 Signature.42 Signature.43 Signature.44 Signature.45 Signature.46 Signature.47 Signature.48 Signature.49 Signature.50 Signature.51 Signature.52 Signature.53 Signature.54 Signature.55 Signature.56 Signature.57 Signature.58 Signature.59 Signature.60 Signature.84 Signature.85 Signature.86 Signature.87 Signature.88 Signature.89 Signature.90 Signature.91 Signature.92 Signature.93 Signature.94 Residuals AbsResiduals RSS N.Mutations
BTC_9016_Lv_P_526_SBS 479.674630282717 140.652485853015 0 0 0 0 0 0 0 0 850.010381949542 0 0 0 0 0 0 0 103.760965391719 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 456.169438555113 0 0 0 109.41504570994 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 522.317052257953 1035.94841725042 20818.3379986019 2662
BTC_0054_Lv_M_526_SBS 464.565405648379 321.771491414538 0 0 0 0 0 0 0 0 593.990833735517 0 0 0 0 0 0 0 0 0 0 521.030361313349 0 0 842.526416487079 262.974802636842 0 0 0 0 406.797110526135 0 0 0 0 0 668.968450124106 0 0 0 206.647568272324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 690.727559841732 1529.05691825666 39888.9577608341 4980
BTC_0042_Lv_P_526_SBS 277.872328165289 177.941864609009 0 0 0 0 0 0 0 0 1388.56325958474 0 401.109636131412 0 0 0 0 0 180.5985319928 0 367.861812352824 692.755607385075 0 0 1972.73761371829 0 0 479.770677969429 0 0 0 0 0 0 0 0 801.934244829464 0 0 0 309.553901095429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 615.300522166238 1629.39381994029 48691.9968308207 7666
BTC_0052_Gb_P_526_SBS 609.546853997095 1350.58721237448 0 0 4304.94749323499 0 0 0 0 0 4260.46932251974 0 0 0 0 0 0 0 2304.72599025888 0 685.610063724058 0 328.446640520267 671.355905998671 0 0 0 251.885475677182 0 0 0 0 0 0 0 0 710.801787207553 0 0 0 206.86844760776 0 0 914.280656035879 0 1664.49459375681 0 1235.14067205036 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 495.288865292823 136.091858628989 0 0 0 0 -74.5418388855332 1976.05084751439 72349.374896619 20056
BTC_0053_Lv_M_526_SBS 441.247414906192 0 0 0 0 786.588744881108 0 0 0 0 0 0 0 114.939035939351 0 0 0 0 0 0 0 164.185032678739 68.1048264850461 46.9761957685328 0 0 0 229.430255963661 0 0 0 0 0 0 0 0 0 0 0 0 200.756948002416 854.530170135932 0 0 0 0 3954.56060633926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 325.117677675851 0 0 0 0 128.292014980393 0 0 0 0 -37.7289237564857 1243.56799247824 30679.0126118486 7277
BTC_9008_Lv_P_526_SBS 321.632622267495 172.532779868 0 0 2745.86005071292 0 0 0 0 0 1174.52484256492 0 0 0 0 0 0 0 117.617612187483 0 0 0 0 0 0 236.259668279178 0 314.57465762884 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 500.118136095336 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 356.497745591499 0 0 0 0 0 0 0 0 0 117.381884804332 1205.54460956527 29646.4439473196 6057
BTC_0019_Lv_P_526_SBS 388.434188928193 135.12920043235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 555.789955328073 0 0 0 216.276428682788 0 0 0 0 1457.37307859449 0 0 0 0 0 614.626706955663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 269.391461016769 0 0 0 0 1063.97898006167 1725.57833355192 57166.3677369771 4701
BTC_9019_Lv_P_526_SBS 320.217767123318 66.7964785737765 0 0 0 0 0 0 0 0 811.290533766741 0 0 0 0 0 0 0 71.0853107400609 0 0 0 0 0 0 0 0 0 0 0 411.490465395883 0 591.66792363756 0 0 0 0 0 0 0 0 0 0 0 0 0 3547.85814744447 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 95.6423649678132 0 0 692.659292315706 0 0 0 0 0 -79.7082839653256 1267.21909360909 30290.5407901654 6529
BTC_0038_Lv_P_526_SBS 408.248105831029 66.538577933389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 539.445294698649 0 189.475104574072 0 0 0 0 0 0 0 0 1024.30048519886 0 0 0 749.756825735691 0 0 0 415.349347394724 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1595.88625863359 2211.43270217793 84919.9748978733 4989
BTC_0024_Lv_M_526_SBS 707.24229990995 1615.17491482699 2902.41495118423 0 0 0 0 0 0 0 1703.97293425229 1038.52577052218 0 0 0 0 0 0 1836.52687049127 0 0 0 0 302.660575878364 2912.84966553169 0 0 0 0 0 399.906872702285 0 787.786492424343 0 0 0 0 0 0 0 0 1303.64377557617 0 1498.23192722522 0 0 0 1451.78188651447 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1536.22209135156 649.034000646547 0 0 0 0 227.02497096245 4431.41618058756 489995.887971961 20873
